"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 20 17:11:41 AMT 2021","Sun Jun 20 17:11:41 AMT 2021","735","","Todo mvc","","","","Selecionar o filtro active",""
"passed","Sun Jun 20 17:11:26 AMT 2021","Sun Jun 20 17:11:27 AMT 2021","317","","Rick And Morty","","","","Lista uma única localizacao",""
"passed","Sun Jun 20 17:11:22 AMT 2021","Sun Jun 20 17:11:22 AMT 2021","452","","CRUD Usuarios","","","","Atualiza um usuário",""
"passed","Sun Jun 20 17:11:42 AMT 2021","Sun Jun 20 17:11:43 AMT 2021","714","","Todo mvc","","","","Selecionar clear completed com filtro all ativo",""
"passed","Sun Jun 20 17:11:41 AMT 2021","Sun Jun 20 17:11:42 AMT 2021","746","","Todo mvc","","","","Selecionar o filtro completed",""
"passed","Sun Jun 20 17:11:26 AMT 2021","Sun Jun 20 17:11:26 AMT 2021","323","","Rick And Morty","","","","Lista um único episódio",""
"passed","Sun Jun 20 17:11:21 AMT 2021","Sun Jun 20 17:11:22 AMT 2021","461","","CRUD Usuarios","","","","Deleta um usuário",""
"passed","Sun Jun 20 17:11:39 AMT 2021","Sun Jun 20 17:11:40 AMT 2021","757","","Todo mvc","","","","Excluir itens na lista",""
"passed","Sun Jun 20 17:11:26 AMT 2021","Sun Jun 20 17:11:26 AMT 2021","352","","Rick And Morty","","","","Lista todos as localizacoes",""
"passed","Sun Jun 20 17:11:21 AMT 2021","Sun Jun 20 17:11:21 AMT 2021","461","","CRUD Usuarios","","","","Consulta todos os usuários",""
"passed","Sun Jun 20 17:11:37 AMT 2021","Sun Jun 20 17:11:39 AMT 2021","2096","","Todo mvc","","","","Cadastrar itens na lista",""
"passed","Sun Jun 20 17:11:19 AMT 2021","Sun Jun 20 17:11:21 AMT 2021","1244","","CRUD Usuarios","","","","Cria usuário com sucesso",""
"passed","Sun Jun 20 17:11:24 AMT 2021","Sun Jun 20 17:11:26 AMT 2021","1328","","Rick And Morty","","","","Lista a primeira página de episódios",""
"passed","Sun Jun 20 17:11:40 AMT 2021","Sun Jun 20 17:11:41 AMT 2021","799","","Todo mvc","","","","Marcar um item como completo",""
